Agric eggs medium size,Agric eggs(medium size price of one),"Beans brown,sold loose",Beans:white black eye. sold loose,Beef Bone in,"Beef,boneless",Bread sliced 500g,Bread unsliced 500g,Broken Rice (Ofada),Catfish (obokun) fresh,Catfish :dried,Catfish Smoked,Chicken Feet,Chicken Wings,Dried Fish Sardine,Evaporated tinned milk carnation 170g,"Evaporated tinned milk(peak), 170g",Frozen chicken,"Gari white,sold loose","Gari yellow,sold loose","Groundnut oil: 1 bottle, specify bottle",Iced Sardine,Irish potato,Mackerel : frozen,Maize grain white sold loose,Maize grain yellow sold loose,Mudfish (aro) fresh,Mudfish : dried,Onion bulb,"Palm oil: 1 bottle,specify bottle",Plantain(ripe),Plantain(unripe),Rice agric sold loose,Rice local sold loose,Rice Medium Grained,"Rice,imported high quality sold loose",Sweet potato,Tilapia fish (epiya) fresh,Titus:frozen,Tomato,"Vegetable oil:1 bottle,specify bottle",Wheat flour: prepacked (golden penny 2kg),Yam tuber,period,Year,Usd rate
494.43,41.32,361.97,314.93,1067.73,1236.44,290.05,268.23,319.86,919.82,2146.61,1007.4,1155.99,950.56,1077.82,159.72,191.44,1708.64,199.68,219.75,660.36,1545.26,314.23,1015.57,154.37,161.9,1060.02,1621.42,311.09,551.77,240.84,253.05,317.46,278.94,304.9,371.21,120.19,1158.84,1109.21,276.18,565.04,639.24,211.61,Dec-17,2017-12-28,306.31
437.13,38.85,385.53,344.52,1045.55,1298.7,313.43,282.12,413.19,1014.62,1852.92,1540.8,850.0,950.77,1455.5,172.24,196.71,1547.5,229.26,271.35,528.59,861.07,232.87,915.27,190.51,180.0,1099.77,2134.65,248.74,480.92,273.71,248.72,322.81,274.66,308.53,360.76,113.36,864.05,894.7,271.99,540.25,655.15,226.51,Jan-18,2018-01-28,305.78
519.07,41.27,387.48,348.55,1017.28,1274.71,314.17,284.36,405.69,1037.33,1857.25,1896.94,778.64,954.99,1405.75,166.55,191.14,1548.87,210.21,250.06,571.1,885.14,250.93,875.31,185.2,199.84,1098.63,2066.03,252.03,510.1,257.63,232.19,322.81,276.28,314.77,365.21,126.44,885.65,901.49,267.1,549.02,646.0,230.85,Feb-18,2018-02-28,305.9
527.32,41.21,395.34,357.04,1024.64,1262.51,305.88,278.61,399.47,1008.28,1793.58,1524.75,772.99,935.83,1410.11,158.51,187.61,1544.95,209.12,243.99,585.15,899.67,261.75,915.92,231.56,193.82,1069.9,1945.3,235.31,492.13,259.83,242.48,326.56,283.57,317.17,363.33,130.3,890.1,905.76,267.09,533.45,657.64,254.51,Mar-18,2018-03-28,305.74
552.09,42.25,395.19,355.32,980.26,1257.73,306.54,278.61,400.94,993.54,1753.53,1514.53,758.88,921.49,1371.8,160.22,188.14,1537.85,208.21,246.5,584.47,907.89,282.06,896.4,173.45,191.05,1039.02,1912.69,234.37,486.84,262.31,235.7,322.54,281.51,323.56,369.35,137.4,889.52,898.62,289.49,548.01,649.92,279.61,Apr-18,2018-04-28,305.61
548.66,41.77,407.73,367.23,1011.11,1275.77,305.98,278.11,405.03,1013.11,1779.71,1520.93,782.55,925.54,1399.97,165.26,192.93,1536.52,216.01,256.51,601.51,941.45,300.58,927.22,180.5,195.72,1062.74,1928.19,234.04,494.91,273.48,247.09,327.84,286.16,325.37,374.63,150.55,924.12,921.04,307.14,553.23,659.51,291.33,May-18,2018-05-28,305.83
539.75,41.38,418.78,369.43,1034.57,1271.54,308.0,275.6,404.43,1062.43,1770.53,1527.82,784.78,960.56,1378.57,166.23,189.93,1537.25,216.72,259.83,612.45,923.47,297.09,908.91,183.69,197.27,1070.62,1941.91,240.01,499.98,276.6,248.47,331.14,280.76,323.12,373.47,148.68,939.36,950.28,317.67,552.08,660.13,285.84,Jun-18,2018-06-28,305.87
471.75,41.22,411.02,361.33,1028.12,1262.73,305.25,272.71,403.56,1064.74,1792.12,1504.39,930.5,963.05,1395.41,165.74,187.84,1541.37,200.67,248.72,603.58,940.53,296.59,922.91,179.39,190.44,1065.56,1907.21,246.91,496.43,270.77,248.58,325.13,276.29,319.35,370.79,163.3,935.16,924.77,336.29,547.9,657.58,280.83,Jul-18,2018-07-28,305.81
474.13,41.79,410.16,361.68,1061.78,1281.02,307.97,278.27,397.29,1088.95,1807.11,1512.4,803.03,992.48,1382.94,162.99,184.25,1533.22,198.82,246.75,603.41,937.22,309.5,926.18,180.09,191.06,1104.81,1897.08,252.09,501.13,275.78,247.06,327.02,280.29,322.55,375.02,167.08,947.79,946.55,336.65,540.44,661.06,292.97,Aug-18,2018-08-28,306.06
472.73,41.17,416.07,362.71,1027.66,1281.64,303.84,278.57,384.49,1089.25,1766.55,1499.6,808.05,1012.5,1374.26,166.28,189.29,1534.18,195.86,253.7,608.35,931.59,291.95,944.5,179.9,189.81,1072.12,1908.02,251.3,501.02,272.6,244.26,328.42,277.78,319.46,371.32,167.28,979.22,941.5,328.26,546.85,651.87,280.28,Sep-18,2018-09-28,306.27
482.9,41.73,411.05,354.22,1003.35,1260.59,299.19,272.91,370.21,1080.38,2362.28,1482.3,775.66,982.51,1365.68,163.34,187.25,1558.22,188.39,236.26,592.51,916.8,300.14,920.99,171.14,178.38,1052.07,1874.37,232.81,495.07,245.62,226.56,323.27,277.87,314.89,373.04,154.73,923.12,923.92,306.59,536.08,656.8,252.21,Oct-18,2018-10-28,306.5
477.76,42.4,396.73,346.41,998.67,1251.45,305.48,277.87,385.61,1112.09,1814.97,1490.84,985.33,981.48,1331.62,162.42,187.56,1551.25,183.59,222.42,603.9,920.98,330.1,937.77,165.03,168.92,1067.1,1894.29,287.66,496.18,254.08,225.54,329.14,278.46,318.94,376.63,147.7,934.07,1105.17,294.36,536.53,659.65,239.15,Nov-18,2018-11-28,306.71
466.97,42.58,386.78,344.72,997.73,1270.81,296.91,271.14,381.64,1060.83,1808.55,1519.8,737.76,943.99,1342.97,163.28,189.98,1625.05,166.64,195.99,585.52,906.39,298.59,934.19,161.49,160.42,1032.24,1861.66,259.38,474.53,227.28,215.73,321.58,280.79,318.0,370.57,140.7,887.54,926.42,271.51,507.83,662.89,212.65,Dec-18,2018-12-28,306.92
469.86,42.18,382.76,336.72,994.2,1273.99,300.61,272.97,382.15,1073.51,1814.67,1509.19,749.53,961.89,1342.79,164.39,190.68,1614.19,165.8,191.78,588.6,906.02,290.55,933.94,158.63,159.91,1054.49,1856.34,257.99,477.09,229.51,217.37,322.45,281.49,317.63,366.04,139.65,910.91,935.02,265.49,516.72,665.12,211.21,Jan-19,2019-01-28,306.85
464.27,42.23,373.91,338.05,980.54,1254.99,299.11,271.74,385.81,1066.39,1799.35,1517.84,731.91,932.32,1380.38,161.6,190.92,1632.71,166.61,191.06,585.69,911.33,284.31,931.39,155.59,158.29,1014.2,1824.01,244.3,462.27,225.98,218.36,316.08,281.25,314.53,364.39,137.46,876.13,945.71,256.51,509.14,664.78,206.49,Feb-19,2019-02-28,306.77
459.81,41.92,368.07,330.76,980.12,1253.48,299.98,273.14,382.45,1065.14,1791.9,1517.26,727.61,927.2,1381.4,161.98,188.23,1910.7,163.51,184.18,580.55,908.81,278.92,935.3,147.83,151.26,1015.53,1825.51,231.91,460.32,223.13,212.53,314.88,280.8,313.55,361.9,134.72,876.36,945.66,240.3,506.65,663.9,200.88,Mar-19,2019-03-28,306.92
467.18,41.95,372.84,329.45,1025.26,1271.1,297.87,271.49,381.13,1082.01,1763.61,1548.23,746.28,947.99,1414.37,161.68,188.18,1681.11,163.37,182.59,578.52,941.44,289.67,958.05,151.7,155.9,1037.9,1826.7,232.3,461.05,228.34,220.91,319.59,282.78,316.3,357.55,141.61,894.12,974.94,257.25,501.09,668.76,222.36,Apr-19,2019-04-28,306.96
464.87,42.82,365.32,329.66,1023.39,1268.95,297.28,272.09,377.77,1063.03,1766.55,1552.13,727.73,934.05,1414.49,163.37,189.51,1701.62,161.55,180.75,573.4,925.31,288.86,942.42,149.6,154.37,1026.85,1826.77,228.26,456.41,226.34,217.15,321.56,278.26,316.94,361.39,140.83,884.47,949.22,249.52,496.64,668.37,216.03,May-19,2019-05-28,306.95
495.33,39.31,342.82,311.4,1003.2,1240.44,292.73,274.49,373.49,1024.68,1727.36,1528.98,693.61,905.44,1394.73,156.95,188.9,1752.97,145.31,156.02,558.3,899.83,274.1,926.08,140.41,143.25,991.45,1786.8,208.87,461.52,220.44,207.37,318.26,271.1,308.07,352.83,135.2,845.73,940.57,226.07,495.41,674.83,182.15,Jun-19,2019-06-28,306.95
468.31,38.38,327.18,289.78,1009.69,1246.78,293.49,271.02,367.44,994.21,1700.51,1504.2,663.03,877.13,1373.11,157.14,188.59,1783.38,151.73,154.05,545.13,887.69,250.34,911.43,135.76,140.09,971.74,1763.72,193.56,447.4,217.22,203.44,314.56,277.38,305.93,356.1,137.48,812.22,927.61,203.55,485.05,667.97,170.85,Jul-19,2019-07-28,306.94
461.89,40.57,307.27,273.71,1007.39,1244.23,301.36,275.4,366.22,1008.32,1712.11,1515.95,685.16,891.87,1379.51,156.98,186.61,1770.45,154.1,167.34,557.44,907.7,271.48,914.58,138.26,142.0,979.84,1768.23,206.04,454.62,225.04,210.27,310.03,272.77,309.27,356.61,137.61,833.59,949.05,223.86,491.41,663.26,190.04,Aug-19,2019-08-28,306.93
