Item Labels,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Lowest,Highest,Month-on-Month,Year-on-Year
Mudfish (aro) fresh,994.37,998.71,1079.16,1008.95,1047.28,1071.13,1080.33,998.57,1069.92,1074.73,1081.61,1060.02,1099.77,1098.63,1069.9,1039.02,1062.74,1070.62,1065.56,1104.81,1072.12,1052.07,1067.1,1032.24,1054.49,1014.2,1015.53,1037.9,1026.85,991.45,971.74,979.84,978.23,979.2,1002.74,1010.99,1000.41,992.95,991.44,1004.18,997.39,1005.84,1009.02,1002.45,1006.22,1016.97,1021.72,1025.4,1023.35,1038.13,1043.24,1044.44,1063.85,1087.71,1815.27,1175.81,1191.93,1189.15,1219.44,Bauchi (723.8),Abuja (1875),2.55,19.35
Mudfish : dried,1812.03,1955.1,2084.81,2319.91,2388.05,2416.28,2395.79,2161.7,2204.04,2190.22,2144.2,1621.42,2134.65,2066.03,1945.3,1912.69,1928.19,1941.91,1907.21,1897.08,1908.02,1874.37,1894.29,1861.66,1856.34,1824.01,1825.51,1826.7,1826.77,1786.8,1763.72,1768.23,1762.5,1741.27,1756.42,1774.96,1758.76,1764.13,1742.72,1762.88,1751.08,1744.34,1743.76,1742.48,1751.89,1760.9,1750.96,1749.89,1758.18,1753.09,1755.92,1743.4,1769.93,1778.91,1144.76,1833.68,1844.74,1851.16,1898.13,Bauchi (1294.89),Abia (2950.4),2.54,8.4
Onion bulb,258.92,241.44,246.95,205.6,203.56,214.79,213.14,236.66,238.29,217.58,228.46,311.09,248.74,252.03,235.31,234.37,234.04,240.01,246.91,252.09,251.3,232.81,287.66,259.38,257.99,244.3,231.91,232.3,228.26,208.87,193.56,206.04,203.54,202.88,226.06,240.55,225.83,231.6,236.36,227.59,221.4,233.24,238.65,241.97,244.75,270.6,379.39,372.25,356.29,297.83,285.23,294.84,307.53,315.63,322.08,302.88,298.94,306.07,340.99,Nasarawa (129.23),Akwa Ibom (679.71),11.41,-10.12
"Palm oil: 1 bottle,specify bottle",420.62,434.81,442.04,452.42,458.24,471.28,478.75,492.9,439.88,473.61,475.51,551.77,480.92,510.1,492.13,486.84,494.91,499.98,496.43,501.13,501.02,495.07,496.18,474.53,477.09,462.27,460.32,461.05,456.41,461.52,447.4,454.62,457.49,464.7,466.93,469.43,457.59,457.31,451.37,464.08,463.5,473.75,486.25,499.67,505.32,515.26,542.85,552.22,564.31,585.01,578.17,578.86,593.36,609.21,635.31,668.71,709.5,727.21,775.11,Kwara (446.67),Enugu (1063.89),6.59,42.79
Plantain(ripe),234.25,234.28,236.65,240.71,241.48,249.71,251.27,254.02,231.7,247.38,244.89,240.84,273.71,257.63,259.83,262.31,273.48,276.6,270.77,275.78,272.6,245.62,254.08,227.28,229.51,225.98,223.13,228.34,226.34,220.44,217.22,225.04,220.42,208.69,218.01,213.04,206.17,207.82,220.91,236.49,226.36,245.86,245.04,242.78,244.37,240.64,238.94,233.84,230.32,237.04,243.13,253.02,265.66,273.07,296.05,290.96,284.9,287.89,284.47,Gombe (136.89),Anambra (488.18),-1.19,19.05
Plantain(unripe),212.49,214.41,215.8,221.79,224.65,228.46,223.47,226.26,215.96,229.88,233.27,253.05,248.72,232.19,242.48,235.7,247.09,248.47,248.58,247.06,244.26,226.56,225.54,215.73,217.37,218.36,212.53,220.91,217.15,207.37,203.44,210.27,204.02,200.11,203.49,204.3,197.06,201.83,218.05,230.2,218.81,238.58,237.18,233.5,236.28,225.83,216.19,213.48,212.35,221.08,228.18,243.37,256.13,269.17,277.73,270.7,256.22,261.59,260.72,Cross River (169.13),Anambra (405.36),-0.33,20.6
Rice agric sold loose,324.01,355.41,360.89,324.76,347.73,352.09,354.08,349.64,351.09,325.93,315.14,317.46,322.81,322.81,326.56,322.54,327.84,331.14,325.13,327.02,328.42,323.27,329.14,321.58,322.45,316.08,314.88,319.59,321.56,318.26,314.56,310.03,322.1,340.27,384.04,390.18,382.21,377.69,369.89,393.34,389.77,394.57,405.97,413.13,425.79,434.41,450.09,448.71,448.7,442.09,443.23,442.39,445.23,449.42,462.35,468.77,463.04,465.64,469.53,Jigawa (345),Akwa Ibom (668.58),0.84,4.32
Rice local sold loose,286.19,306.29,308.87,299.3,323.82,325.51,323.25,320.19,316.4,292.9,278.89,278.94,274.66,276.28,283.57,281.51,286.16,280.76,276.29,280.29,277.78,277.87,278.46,280.79,281.49,281.25,280.8,282.78,278.26,271.1,277.38,272.77,290.16,303.69,344.01,345.94,338.58,334.11,313.1,342.49,344.91,347.54,362.97,375.08,390.68,400.47,404.61,405.64,401.41,391.01,393.92,399.07,397.8,401.82,411.97,409.97,410.01,415.03,421.02,Kebbi (315.84),Bayelsa (588.9),1.44,4.06
Rice Medium Grained,312.08,352.69,377.99,332.81,350.36,348.23,344.4,313.45,339.47,320.64,309.87,304.9,308.53,314.77,317.17,323.56,325.37,323.12,319.35,322.55,319.46,314.89,318.94,318,317.63,314.53,313.55,316.3,316.94,308.07,305.93,309.27,326.4,339.78,378.5,381.68,381.42,373.16,368.36,394.56,392.54,400.73,410.69,415.43,423.04,434.96,444.94,443.03,442.17,444.17,443.36,441.85,441.49,447.62,456,460.33,454.28,463.38,476.67,Kebbi (297.91),Bayelsa (671.43),2.87,7.13
"Rice,imported high quality sold loose",402.01,410.58,418.71,388.46,410.55,415.84,409.2,384.35,398.01,368.9,360.83,371.21,360.76,365.21,363.33,369.35,374.63,373.47,370.79,375.02,371.32,373.04,376.63,370.57,366.04,364.39,361.9,357.55,361.39,352.83,356.1,356.61,371.13,382.57,445.45,459.9,453.24,444.04,438.66,471.84,463.21,479.74,490.44,501.71,516.13,530.32,549.98,550.94,551.57,537.37,544.21,540.58,544.09,557.98,552.8,546.71,546.77,553.23,568.75,Borno (400.64),Rivers (790.14),2.81,3.41
Sweet potato,129.43,127.23,132.94,132.43,130.28,135.77,137.96,138.56,139,115.73,111.36,120.19,113.36,126.44,130.3,137.4,150.55,148.68,163.3,167.08,167.28,154.73,147.7,140.7,139.65,137.46,134.72,141.61,140.83,135.2,137.48,137.61,142,138.46,146.58,147.46,141.23,141.34,149.46,153.89,154.62,171.94,177.17,173.11,165.3,163.51,160.89,154.98,148.32,145.86,152.53,157.76,172.63,191.27,199.86,195.87,192.07,192.14,202.25,Bauchi (122.53),Akwa Ibom (386.57),5.27,25.71
Tilapia fish (epiya) fresh,792.18,795.27,798.07,800.77,805.21,817.62,823.34,820.29,795.64,822.39,813.77,1158.84,864.05,885.65,890.1,889.52,924.12,939.36,935.16,947.79,979.22,923.12,934.07,887.54,910.91,876.13,876.36,894.12,884.47,845.73,812.22,833.59,813.43,815.55,859.55,884.07,870.06,863.29,854.86,870.49,860.95,872.94,872.74,855.5,858.54,869.77,869.15,868.87,868.65,891.21,911.83,910.3,927.54,949.72,1017.38,1051.63,1067.47,1074.97,1101.38,Bauchi (448.13),Abuja (2000.56),2.46,26.72
Titus:frozen,884.82,942.23,964.63,935,969.64,1012.18,1014.54,998.01,973.99,1050.38,1125.88,1109.21,894.7,901.49,905.76,898.62,921.04,950.28,924.77,946.55,941.5,923.92,1105.17,926.42,935.02,945.71,945.66,974.94,949.22,940.57,927.61,949.05,952.31,956.75,975.39,981.21,962.96,948.14,960.47,986.88,1004.66,1018.79,1021.08,1022.7,1032.75,1051.36,1052.31,1057.97,1066.88,1062.07,1069.28,1091.2,1115.8,1151.08,1327.44,1375.61,1426.42,1424.58,1451.35,Adamawa (840.7),Delta (2287.4),1.88,37.92
Tomato,247.55,236.62,268.64,285.72,339.72,375,394.13,431.3,322.39,291.53,286.39,276.18,271.99,267.1,267.09,289.49,307.14,317.67,336.29,336.65,328.26,306.59,294.36,271.51,265.49,256.51,240.3,257.25,249.52,226.07,203.55,223.86,227.5,233.38,251.21,263.9,237.22,241.78,255.33,277,278.23,294.46,304.01,289.86,286.92,307.63,316.16,310.1,289.66,269.18,267.45,277.26,303.51,335.46,414.83,396.38,342.25,347.47,349.6,Bauchi (121.27),Abia (682.56),0.61,10.58
"Vegetable oil:1 bottle,specify bottle",495.29,507.36,513.42,525.72,524.77,546.29,552.91,559.01,505.51,547.11,540.2,565.04,540.25,549.02,533.45,548.01,553.23,552.08,547.9,540.44,546.85,536.08,536.53,507.83,516.72,509.14,506.65,501.09,496.64,495.41,485.05,491.41,486.9,502.34,512.53,516.29,515.48,520.95,530.85,551.92,554.77,568.5,576.89,583.76,589.28,602.96,630.86,639.88,654.79,667.43,668.33,672.7,686.67,712.95,739.32,769.45,812.94,825.46,876.47,Niger (495.89),Ekiti (1250),6.18,38.93
Wheat flour: prepacked (golden penny 2kg),626.53,621.39,623.1,627.33,646.18,632.09,630.47,647.29,627,641.41,649.19,639.24,655.15,646,657.64,649.92,659.51,660.13,657.58,661.06,651.87,656.8,659.65,662.89,665.12,664.78,663.9,668.76,668.37,674.83,667.97,663.26,664.02,675.3,673.48,676.2,672.79,668.01,674.14,692.6,698.45,707.31,712.95,718.39,730.23,740.89,749.99,749.8,757.97,758.55,766.11,770.58,785.87,803.9,830.6,869.64,911.88,912.72,950.6,Niger (695.12),Abuja (1240),4.15,26.75
Yam tuber,210.58,215.55,255.86,250.3,279.15,292.06,294.12,343.39,259.51,223.63,212.27,211.61,226.51,230.85,254.51,279.61,291.33,285.84,280.83,292.97,280.28,252.21,239.15,212.65,211.21,206.49,200.88,222.36,216.03,182.15,170.85,190.04,190.23,179.75,203.2,206.82,193.04,189.53,206.12,230.09,236.9,250.7,256.44,256.06,245.62,242.87,236.25,233.48,234.67,242.82,244.82,252.8,269.98,287.54,308.72,305.48,306.87,313.05,327.53,Taraba (125.33),Lagos (600.27),4.63,38.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: The Nigeria Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
